   38.1500    38.1500    -543.4350     562.5750
   38.1500    38.1500    -505.2850     562.5750
   38.1500    38.1500    -467.1350     562.5750
   38.1500    38.1500    -428.9850     562.5750
   38.1500    38.1500    -390.8350     562.5750
   38.1500    38.1500    -352.6850     562.5750
   38.1500    38.1500    -314.5350     562.5750
   38.1500    38.1500    -276.3850     562.5750
   38.1500    38.1500    -238.2350     562.5750
   38.1500    38.1500    -200.0850     562.5750
   38.1500    38.1500    -161.9350     562.5750
   38.1500    38.1500    -123.7850     562.5750
   38.1500    38.1500     -85.6350     562.5750
   38.1500    38.1500     -47.4850     562.5750
   38.1500    38.1500      -9.3350     562.5750
   38.1500    38.1500      28.8150     562.5750
   38.1500    38.1500      66.9650     562.5750
   38.1500    38.1500     105.1150     562.5750
   38.1500    38.1500     143.2650     562.5750
   38.1500    38.1500     181.4150     562.5750
   38.1500    38.1500     219.5650     562.5750
   38.1500    38.1500     257.7150     562.5750
   38.1500    38.1500     295.8650     562.5750
   38.1500    38.1500     334.0150     562.5750
   38.1500    38.1500     372.1650     543.7750
   38.1500    38.1500     410.3150     543.7750
   38.1500    38.1500     448.4650     543.7750
   38.1500    38.1500     486.6150     543.7750
   38.1500    38.1500     524.7650     543.7750
   38.1500    38.1500     562.9150     543.7750
   38.1500    38.1500    -543.4350     524.4250
   38.1500    38.1500    -505.2850     524.4250
   38.1500    38.1500    -467.1350     524.4250
   38.1500    38.1500    -428.9850     524.4250
   38.1500    38.1500    -390.8350     524.4250
   38.1500    38.1500    -352.6850     524.4250
   38.1500    38.1500    -314.5350     524.4250
   38.1500    38.1500    -276.3850     524.4250
   38.1500    38.1500    -238.2350     524.4250
   38.1500    38.1500    -200.0850     524.4250
   38.1500    38.1500    -161.9350     524.4250
   38.1500    38.1500    -123.7850     524.4250
   38.1500    38.1500     -85.6350     524.4250
   38.1500    38.1500     -47.4850     524.4250
   38.1500    38.1500      -9.3350     524.4250
   38.1500    38.1500      28.8150     524.4250
   38.1500    38.1500      66.9650     524.4250
   38.1500    38.1500     105.1150     524.4250
   38.1500    38.1500     143.2650     524.4250
   38.1500    38.1500     181.4150     524.4250
   38.1500    38.1500     219.5650     524.4250
   38.1500    38.1500     257.7150     524.4250
   38.1500    38.1500     295.8650     524.4250
   38.1500    38.1500     334.0150     524.4250
   38.1500    38.1500     372.1650     505.6250
   38.1500    38.1500     410.3150     505.6250
   38.1500    38.1500     448.4650     505.6250
   38.1500    38.1500     486.6150     505.6250
   38.1500    38.1500     524.7650     505.6250
   38.1500    38.1500     562.9150     505.6250
   38.1500    38.1500    -543.4350     486.2750
   38.1500    38.1500    -505.2850     486.2750
   38.1500    38.1500    -467.1350     486.2750
   38.1500    38.1500    -428.9850     486.2750
   38.1500    38.1500    -390.8350     486.2750
   38.1500    38.1500    -352.6850     486.2750
   38.1500    38.1500    -314.5350     486.2750
   38.1500    38.1500    -276.3850     486.2750
   38.1500    38.1500    -238.2350     486.2750
   38.1500    38.1500    -200.0850     486.2750
   38.1500    38.1500    -161.9350     486.2750
   38.1500    38.1500    -123.7850     486.2750
   38.1500    38.1500     -85.6350     486.2750
   38.1500    38.1500     -47.4850     486.2750
   38.1500    38.1500      -9.3350     486.2750
   38.1500    38.1500      28.8150     486.2750
   38.1500    38.1500      66.9650     486.2750
   38.1500    38.1500     105.1150     486.2750
   38.1500    38.1500     143.2650     486.2750
   38.1500    38.1500     181.4150     486.2750
   38.1500    38.1500     219.5650     486.2750
   38.1500    38.1500     257.7150     486.2750
   38.1500    38.1500     295.8650     486.2750
   38.1500    38.1500     334.0150     486.2750
   38.1500    38.1500     372.1650     467.4750
   38.1500    38.1500     410.3150     467.4750
   38.1500    38.1500     448.4650     467.4750
   38.1500    38.1500     486.6150     467.4750
   38.1500    38.1500     524.7650     467.4750
   38.1500    38.1500     562.9150     467.4750
   38.1500    38.1500    -543.4350     448.1250
   38.1500    38.1500    -505.2850     448.1250
   38.1500    38.1500    -467.1350     448.1250
   38.1500    38.1500    -428.9850     448.1250
   38.1500    38.1500    -390.8350     448.1250
   38.1500    38.1500    -352.6850     448.1250
   38.1500    38.1500    -314.5350     448.1250
   38.1500    38.1500    -276.3850     448.1250
   38.1500    38.1500    -238.2350     448.1250
   38.1500    38.1500    -200.0850     448.1250
